"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
4,3.5,35,90,0,45,-45,-45,45,0,90,9441.247386,9.441247386
4,3.5,35,90,45,-45,0,0,-45,45,90,11301.51805,11.30151805
4,3.5,35,90,45,0,-45,-45,0,45,90,10339.61898,10.33961898
4,3.5,40,-45,0,45,90,90,45,0,-45,12358.30515,12.35830515
4,3.5,40,-45,0,90,45,45,90,0,-45,10797.60436,10.79760436
4,3.5,40,-45,45,0,90,90,0,45,-45,15936.14766,15.93614766
4,3.5,40,-45,45,90,0,0,90,45,-45,15842.66332,15.84266332
4,3.5,40,-45,90,0,45,45,0,90,-45,11129.72548,11.12972548
4,3.5,40,-45,90,45,0,0,45,90,-45,12658.02273,12.65802273
4,3.5,40,0,-45,45,90,90,45,-45,0,11752.11414,11.75211414
4,3.5,40,0,-45,90,45,45,90,-45,0,10446.18524,10.44618524
4,3.5,40,0,45,-45,90,90,-45,45,0,11751.28909,11.75128909
4,3.5,40,0,45,90,-45,-45,90,45,0,10444.94083,10.44494083
4,3.5,40,0,90,-45,45,45,-45,90,0,9689.517294,9.689517294
4,3.5,40,0,90,45,-45,-45,45,90,0,9689.293398,9.689293398
4,3.5,40,45,-45,0,90,90,0,-45,45,15936.8371,15.9368371
4,3.5,40,45,-45,90,0,0,90,-45,45,15842.53876,15.84253876
4,3.5,40,45,0,-45,90,90,-45,0,45,12357.98008,12.35798008
4,3.5,40,45,0,90,-45,-45,90,0,45,10796.89606,10.79689606
4,3.5,40,45,90,-45,0,0,-45,90,45,12657.82997,12.65782997
4,3.5,40,45,90,0,-45,-45,0,90,45,11129.56253,11.12956253
4,3.5,40,90,-45,0,45,45,0,-45,90,9603.921954,9.603921954
4,3.5,40,90,-45,45,0,0,45,-45,90,10500.86368,10.50086368
4,3.5,40,90,0,-45,45,45,-45,0,90,8746.857299,8.746857299
4,3.5,40,90,0,45,-45,-45,45,0,90,8746.898557,8.746898557
4,3.5,40,90,45,-45,0,0,-45,45,90,10500.92552,10.50092552
4,3.5,40,90,45,0,-45,-45,0,45,90,9604.001133,9.604001133
4,3.5,45,-45,0,45,90,90,45,0,-45,11122.55331,11.12255331
4,3.5,45,-45,0,90,45,45,90,0,-45,9724.700159,9.724700159
4,3.5,45,-45,45,0,90,90,0,45,-45,14284.20434,14.28420434
4,3.5,45,-45,45,90,0,0,90,45,-45,14270.29159,14.27029159
4,3.5,45,-45,90,0,45,45,0,90,-45,10048.5261,10.0485261
4,3.5,45,-45,90,45,0,0,45,90,-45,11417.43702,11.41743702
4,3.5,45,0,-45,45,90,90,45,-45,0,10549.03907,10.54903907
4,3.5,45,0,-45,90,45,45,90,-45,0,9372.022932,9.372022932
4,3.5,45,0,45,-45,90,90,-45,45,0,10549.11793,10.54911793
4,3.5,45,0,45,90,-45,-45,90,45,0,9371.999421,9.371999421
4,3.5,45,0,90,-45,45,45,-45,90,0,8713.176956,8.713176956
4,3.5,45,0,90,45,-45,-45,45,90,0,8713.442633,8.713442633
4,3.5,45,45,-45,0,90,90,0,-45,45,14284.05004,14.28405004
